id,business_name,category,service,contact_name,phone,email,website,address,notes,created_at,updated_at,computed_keywords,ckw_locked,ckw_version,ckw_manual_extra,keywords,ckw
44,"Dgd Clinic","Health Care",Endocrinology,"Dr Firas Akhrass",2106148612,,https://www.dgdclinic.com/,"5107 Medical Dr, San Antonio, Tx 78229","",,,"",,,,"",""
45,"Diabetic & Glandular Disease Clinic","Health Care",Endocrinology,"Dr. Firas Akhrass",2106148612,,https://www.dgdclinic.com/,"5107 Medical Dr, San Antonio, Tx 78229","",,,"",,,,"",""
46,"Dina Cordova","Home Cleaning Domestic Services",Housekeeping,"Dina Cordova",2107693231,,"","",Trustworthy,,,"",,,,"",""
47,"Dr Michael Sorace","Health Care",Dermatology,"Dr Michael Sorace",,,https://www.mohsskinsurgery.com/,"","Excellent Mohs",,,"",,,,"",""
48,"Dr. Adam Harris (South Texas Surgical & Orthopedic Specialists)","Health Care",Orthopedics,"",2106145100,,https://www.saorthospecialists.com/adam-i-harris-md,"225 E Sonterra Blvd Ste 220, San Antonio, Tx 78258","",,,"",,,,"",""
49,"Dr. Brian Kaiser","Health Care",Orthopedics,"",2102819595,,https://www.tsaog.com/physicians/bryan-w-kaiser/,"Ridgewood Orthopaedic Center 19138 Us-281 N San Antonio, Tx 78258","",,,"",,,,"",""
50,"Dr. Casey Taber (Tsaog)","Health Care",Orthopedics,"",2108045450,,https://www.tsaog.com/physicians/casey-d-taber/,"19138 N Us Hwy 281 Ste 100, San Antonio, Tx 78258","",,,"",,,,"",""
51,"Dr. Peter Holmes","Health Care",Orthopedics,"",2106969000,,https://methodistphysicianpractices.com/physicians/profile/Dr-Peter-Holmes-MD,"5510-B Presidio Parkway Ste 2209 San Antonio, Tx 78249","",,,"",,,,"",""
52,"Dr. Tripp Puhl Chiropractic","Health Care",Chiropractic,"",2108282665,,https://www.chiropracticcentersoftexas.com/,"147 W Sunset Rd Ste 101, San Antonio, Tx 78209","",,,"",,,,"",""
53,"Dynamic Dermatology","Health Care",Dermatology,"",2109515530,,https://www.dynamicdermatology.com/,"13535 Hausman Pass, Suite 104,
San Antonio, Tx 78249","",,,"",,,,"",""
54,"Edward Jones","Financial Tax Services","Financial Advisor","Jim Tanberg",,,"","On Culebra, San Antonio, Tx","",,,"",,,,"",""
55,"Elite Water Systems","Home Repair & Trades","Water Softener Sales Service","",2105565452,,https://www.elitewatersystems.com/,"17422 O'Connor Rd #200, San Antonio, Tx 78247",Recommended,,,"",,,,"",""
56,"Eloy Cisneros","Home Repair & Trades",Plumbing,"Eloy Cisneros",2105735865,,https://www.facebook.com/saplumbing01/,"5630 Timberhurst, San Antonio, Tx, United States, Texas","Reliable, Reasonable",,,"",,,,"",""
57,"Eye Associates","Health Care","Optometry Eye Exam","Dr Anhtuan Nguyen",2106177396,,https://www.eye-assoc.com/alamo-ranch,"11345 Alamo Ranch Pkwy San Antonio, Tx 78253","Good Experience",,,"",,,,"",""
58,"Fineline Barbershop #1","Beauty Wellness",Barber,Damien,2104740799,,https://www.finelinebarbershopsa.com/location1,"11400 Culebra Rd #105, San Antonio, Tx 78253","",,,"",,,,"",""
59,"Firm Foundation Landscaping","Landscaping Trees Lawn Services",Softscape,"Tyler Lewis",2104597580,,https://firmfoundationlandscaping.com/,"","Lawn/Rock Install",,,"",,,,"",""
60,"Flushing With Pride Plumbing & Sewer Services","Home Repair & Trades",Plumbing,"Elizabeth Fisher",2108656402,,https://flushingwithpride.com/,"Po Box 681163, San Antonio, Tx 78268","Neighbors Pleased",,,"",,,,"",""
61,"Garage Door Solutions","Home Repair & Trades","Garage Doors","",2106629494,,https://sagaragedoorsolutions.com/,"","",,,"",,,,"",""
62,"Garage Guru","Home Repair & Trades","Garage Doors","",2105422273,,https://sagarageguru.com,"","",,,"",,,,"",""
63,"Geek Squad Alamo Ranch","Professional Technical Services","Computer Repair","",2105205143,,https://stores.bestbuy.com/tx/san-antonio/5419-w-loop-1604-n-1459/geeksquad.html?ref=NS&loc=ns100,"5419 W Loop 1604 N San Antonio, Tx 78253","",,,"",,,,"",""
64,"Gilbert’S Lawn Care","Landscaping Trees Lawn Services","Lawn Care",Gilbert,2107071739,,"","","",,,"",,,,"",""
65,"Great Northwest Animal Hospital","Pet Care","Veterinary Clinic Animal Hospital","Dr. Michelle",2106814278,,https://www.gnwah.com,"8843 Grissom Rd Ste 101, San Antonio, Tx 78251","",,,"",,,,"",""
66,"H.O.W. Foundation","Landscaping Trees Lawn Services","Tree Trim","",2103332100,,https://howfoundationsa.org/,"7495 Trainer Hale Rd #2, Schertz, Tx 78154","Charity Donation Credit",,,"",,,,"",""
67,"Hd Insurance Agency",Insurance,"Insurance Agent",John,2107508900,,https://hd-ins.com/,"6827 Camp Bullis Rd #302 San Antonio, Tx 78256","Independent Agent",,,"",,,,"",""
68,"Health Texas","Health Care","Primary Care","Dr Bharath Pola",2102374983,,https://healthtexas.org/doctor/bharath-pola-d-o/,"10307 State Highway 151 San Antonio, Tx 78251-4557","Prompt, Courteous",,,"",,,,"",""
69,"Heaven’S Best Carpet Cleaning","Home Cleaning Domestic Services","Carpet Cleaning","Art / Mark",2103802969,,https://www.heavensbest.com/search/?q=78253,"","",,,"",,,,"",""
70,"Hilda Cordova","Home Cleaning Domestic Services",Housekeeping,"Hilda Cordova",2106337012,,"","","",,,"",,,,"",""
71,"Hill Country Animal Hospital","Pet Care","Veterinary Clinic Animal Hospital","Dr. Macias; Dr. Krick",2106954455,,https://www.hillcountryanimalhospital.com/,"12410 Bandera Rd, Helotes, Tx 78023","",,,"",,,,"",""
72,"Home Depot (Plantation Shutters)","Home Repair & Trades","Window Coverings","",,,"","","",,,"",,,,"",""
73,"Hometeam Pest Defense","Landscaping Trees Lawn Services","Pest Control Exterminator","",2106412551,,https://pestdefense.com,"12677 Silicon Dr, San Antonio, Tx 78249","",,,"",,,,"",""
74,"James Handstedt","Home Repair & Trades",Handyman,"",2107229266,,"","","",,,"",,,,"",""
75,"Joseph Lopez","Personal Services",Upholstery,"Joseph Lopez",2106806566,,https://www.manta.com/c/mmcbyhm/joseph-s-elite-upholstery,"610 Timber Bluff San Antonio, Tx 78253","Excellent Workmanship",,,"",,,,"",""
76,"Jose’S Lawn Service","Landscaping Trees Lawn Services","Lawn Care",Jose,2564220888,,"","","",,,"",,,,"",""
77,"Just A Good Sprinkler Man","Landscaping Trees Lawn Services",Irrigation,Art,2102484450,,https://justagoodsprinklerman.com/,"10730 Potranco Rd #122, San Antonio, Tx 78251","",,,"",,,,"",""
78,"Just Four Paws","Pet Care","Pet Grooming","",2106959035,,https://www.justfourpawshelotes.com/,"12602 Fm 1560 N, Helotes, Tx","Excellent Job",,,"",,,,"",""
79,"Kathleen Emmick Vines, Cpa","Financial Tax Services",Cpa,"",2814351354,,"","","",,,"",,,,"",""
80,"Landon Lindsey","Landscaping Trees Lawn Services","Lawn Care","Landon Lindsey",2103308365,,"","","Reliable, Shows Up",,,"",,,,"",""
81,"Lap Of Love","Pet Care","In‑Home Euthanasia","",2106407322,,https://www.lapoflove.com/find-a-vet/Texas/San-Antonio/about,"","",,,"",,,,"",""
82,"Lenscrafters Westwood Loop","Health Care","Optometry Eye Exam","",2106889262,,https://www.lenscrafters.com/lc-us/find-a-store,"5535 W Loop 1604 N, San Antonio, Tx 78253","Thorough Exam",,,"",,,,"",""
83,"Lone Star Pest Control","Landscaping Trees Lawn Services","Pest Control Exterminator","Dean Dotterman",8308003209,,"","","$65 Group Rate",,,"",,,,"",""
84,"Louver Shop Of San Antonio","Home Repair & Trades","Window Coverings","",8884281415,,https://www.louvershop.com/locations/louver-shop-of-san-antonio/,"","",,,"",,,,"",""
85,"Luna Landscape & Design","Landscaping Trees Lawn Services","Lawn Care","Jayson Luna",2109547024,,https://www.lunalandscape.co/,"",Connect@Lunalandscape.Co,,,"",,,,"",""
86,"Mac Tlc","Professional Technical Services","Computer Repair","",2104955000,,https://mactlc.com/,"11614 West Ave., Ste.101","",,,"",,,,"",""
87,"Magna Painting","Home Repair & Trades",Painting,Tim,2102696803,,https://www.magnapainting.com/,"","",,,"",,,,"",""
88,Marblelife,"Home Cleaning Domestic Services","Grout Cleaning Sealing",Mike,8882184616,,https://marblelife-sanantonio.com/,"","Impressed, Professional",,,"",,,,"",""
89,"Margaret Wallace, Cpa","Financial Tax Services",Cpa,"Margaret Wallace",2108752365,,"","101 Sunflower Ln, Sa 78213","Professional & Helpful",,,"",,,,"",""
90,"Matthew Martinez","Home Repair & Trades",Handyman,"",2108608488,,"","",Doors,,,"",,,,"",""
91,"Md Automotive","Auto Services","Auto Repair","",2106882366,,https://www.mdautomotiveonline.com/,"7454 Fm1560 N, San Antonio, Tx 78254","Hcr Discount, Shuttle",,,"",,,,"",""
92,"Medical Center Ophthalmology Associates","Health Care",Ophthalmologist,"Stephen J Fisher",2106972020,,https://mcoaeyecare.com/eye-doctor/steven-j-fisher-m-d/,"9730 Westover Hills Blvd Ste. 110 San Antonio, Tx 78251","",,,"",,,,"",""
93,"Mike B.","Home Repair & Trades",Handyman,"",2107407500,,"","",Doors,,,"",,,,"",""
94,"Mike Castillo","Home Repair & Trades",Electrician,"Mike Castillo",2104540397,,"","","Highly Recommended",,,"",,,,"",""
95,"Mission Emergency Vet","Pet Care","Veterinary Clinic Animal Hospital","",2107377373,,https://mission.vet,"8202 N Loop 1604 W, San Antonio, Tx 78249",Emergency,,,"",,,,"",""
96,"Mister‑B Termite & Pest Control","Landscaping Trees Lawn Services","Pest Control Exterminator","",2106590609,,"","9218 Converse Business Ln Ste 6, Converse, Tx 78109","",,,"",,,,"",""
97,"Morgan Stanley","Financial Tax Services","Financial Advisor","Lance Childress",2102774449,,https://advisor.morganstanley.com/lance.childress,"7600 Broadway, Ste 100, San Antonio, Tx 78209","",,,"",,,,"",""
98,"Mrs. Harline (Piano)","Professional Technical Services","Music Lessons","",,,https://lisaharline.wixsite.com/harline-music-studio/about,"","",,,"",,,,"",""
99,"Ms. Janie","Home Repair & Trades","Water Softener Sales Service","Ms. Janie",2103960732,,"","","",,,"",,,,"",""
100,"Neveah'S General Maintenance","Home Repair & Trades",Handyman,"Daniel Neveah",2108733792,,"","","Power Wash, Repairs",,,"",,,,"",""
101,"On The Go Bikes",Bicycle,"Bicycle Sales Repair Services","Oscar Arango",2102811101,,https://www.onthegobikes.com,"","",,,"",,,,"",""
102,Ownwell,"Real Estate","Property Tax","",,,https://www.ownwell.com/referral?owl=57FA5Z101,"","",,,"",,,,"",""
103,"Palmer’S Flooring, Llc","Home Repair & Trades",Flooring,"Kyle; Joseph",2103255600,,https://www.facebook.com/palmersflooring/,"12903 El Sendero St, San Antonio, Tx 78233","",,,"",,,,"",""
104,"Paul Owens Law","Legal Services","Estate Legal Services","Paul Owens",2106955110,,https://paulowenslaw.com/,"14237 Old Bandera Rd, Helotes, Tx 78023","Renter Contracts",,,"",,,,"",""
105,"Paul Premack","Legal Services","Elder Law","Paul Premack",2108261122,,https://www.premack.com/about-paul-premack,"2186 Jackson Keller Road #720, San Antonio, Tx 78213","Estate Resolution",,,"",,,,"",""
106,"Pawson Electric","Home Repair & Trades",Electrician,"Kevin Pawson",2107889520,,https://pawsonelectricsa.com,"5903 Dannykaye Dr, San Antonio, Tx 78240","Professional, Honest",,,"",,,,"",""
107,"Potranco Automotive","Auto Services","Auto Repair","",2106796620,,https://www.potrancoautomotive.com,"12034 Potranco Rd, San Antonio, Tx 78253","",,,"",,,,"",""
108,"Prado’S Granite","Home Repair & Trades","Granite Countertops Stone Fabrication","",2103591544,,http://www.jpradogranite.com/,"","On Time, Fair Price",,,"",,,,"",""
109,"Premier Allergy","Health Care","Allergy Immunology","",2107646567,,https://www.premierallergytx.com/,"11840 Alamo Ranch Parkway, Suite 80
San Antonio, Texas 78253","",,,"",,,,"",""
110,"Presidio Flooring","Home Repair & Trades",Flooring,"John Sosa",2106882482,,https://presidioflooring.com,"25374 W Interstate 10 Frontage Rd, San Antonio, Tx 78257","",,,"",,,,"",""
111,"Quality Bath And Floors","Home Repair & Trades","Bath Remodeling","Adrian Salinas",2103632424,,https://qualitybathandfloors.com/,"223 Lorraine San Antonio, Texas 78214","Bath Flooring",,,"",,,,"",""
112,"Quality Bath And Floors","Home Repair & Trades","Tile Installation","Adrian Salinas",2103632424,,https://qualitybathandfloors.com/,"223 Lorraine San Antonio, Texas 78214","Bath Flooring",,,"",,,,"",""
113,"Ralph Marchiori","Home Repair & Trades",Handyman,"",2108606209,,"","",Doors,,,"",,,,"",""
114,"Rialto Jewelry","Professional Technical Services","Jewelry Repair Service","",2105098100,,https://www.rialtojewelry.com/,"8910 Bandera Rd Ste 107, Sa 78250","Gold/Diamond Repair",,,"",,,,"",""
115,"Richard Krampe, Cpa","Financial Tax Services",Cpa,"",2106951960,,https://richcpa.co/,"14359 Old Bandera Rd, Helotes, Tx 78023","",,,"",,,,"",""
116,"River City Deck & Patio","Home Repair & Trades","Decks, Gazebo, Arbor, Pergola","",2108233637,,https://rivercitydeckandpatio.com/,"18771 Fm 2252, San Antonio, Tx 78266","Professional, Reasonable",,,"",,,,"",""
117,"River City Floors","Home Repair & Trades",Flooring,"",2105933358,,https://rcfhardwoods.com/san-antonio/,"3859 Stahl Rd, San Antonio, Tx 78217","",,,"",,,,"",""
118,"Rose Dermatology","Health Care",Dermatology,"",2102399647,,https://www.rosedermtx.com/,"10630 Braun Rd Suite 105, San Antonio, Tx 78254","",,,"",,,,"",""
119,"Rosenberg Plumbing & Air","Home Repair & Trades","Hvac, Air Conditioning, Heating","Matt (Co-Owner)",2109875587,,https://rosenberghvac.com,"4335 Vance Jackson Rd Suite 505, San Antonio, Tx 78230","",,,"",,,,"",""
120,"Sa City Orthopedics","Health Care",Orthopedics,"Dr Brian N Kanz",2105102400,,https://www.sacityortho.com/,"1931 Rogers Road Suite 104 San Antonio, Tx 78251","Highly Recommended",,,"",,,,"",""
121,"San Antonio Endocrinologist","Health Care",Endocrinology,"Dr Shahid Aziz Or Dr Dina Rivera",2103525006,,https://www.saendocrine.com/shahid-aziz-md/,"10818 Town Center Rd, San Antonio, Tx","Easy Access, Good Parking",,,"",,,,"",""
122,"San Antonio Family Chiropractor","Health Care",Chiropractic,"",2106990158,,https://www.safamilychiro.com/,"9386 Huebner Rd Ste 100 San Antonio, Tx 78240","",,,"",,,,"",""
123,"San Antonio Music Academy (Sama)","Professional Technical Services","Music Lessons","",2106817262,,https://samusicacademy.com/,"11121 Westwood Loop Ste. 208, San Antonio, Tx 78253","",,,"",,,,"",""
124,"San Antonio Quality Shoe Repair & Alterations","Professional Technical Services","Shoe Repair","",2104958550,,"","19160 Stone Oak Pkwy #102, San Antonio, Tx 78258",Boots/Purses/Clothes,,,"",,,,"",""
125,"Sandra Kapsar, Cpa","Financial Tax Services",Cpa,"Sandra Kapsar",2102501690,,"","","Hcr Resident",,,"",,,,"",""
126,"Saul Pineda","Landscaping Trees Lawn Services",Irrigation,"",2103475291,,"","","",,,"",,,,"",""
127,"Screenmobile Of Boerne","Home Repair & Trades",Screens,"",2107565700,,https://www.screenmobile.com/boerne,"5 Upper Cibolo Creek Rd, Boerne, Tx 78006","",,,"",,,,"",""
128,"Sea Gull Lighting 90621-68","Home Repair & Trades","Address Tiles","",,,"","","Order House Numbers + 2 Blanks",,,"",,,,"",""
129,"Secure Financial Management","Financial Tax Services","Financial Advisor","Jay Kirkwood",2104286250,,https://sfmplanning.com/,"4630 De Zavala Road San Antonio, Tx 78249","Cpa + Attorney",,,"",,,,"",""
130,"Smith Thompson Security",Security,"Alarm Service","",2105900880,,https://smiththompson.com/,"","Responsive, No Upsell",,,"",,,,"",""
131,"Sofy’Z","Personal Services",Alterations,"",2109571441,,https://sofyzdesigns.fashion/,"5619 W Loop 1604 N Suite 125, San Antonio, Tx 78253","",,,"",,,,"",""
132,"Sorrento Dermatology","Health Care",Dermatology,"Dr James Neiiner",2104509840,,https://dermatologysanantonio.com/dr-james-neiner,"1314 E Sonterra Blvd, Suite #2201, San Antonio, Tx 78258","Outstanding Mohs",,,"",,,,"",""
133,"Southern Turf","Landscaping Trees Lawn Services","Artificial Turf","",2107964601,,https://www.southernturfco.com/san-antonio/,"3414 Zebecca Creek Drive, San Antonio, Tx 78015","",,,"",,,,"",""
134,"Squeaky Dan'S","Home Cleaning Domestic Services","Gutter Cleaning","",2103946840,,https://www.squeakydans.com/,"","Also Windows, Roof Wash",,,"",,,,"",""
135,"Squeaky Dan'S","Home Cleaning Domestic Services","Window Washing","",2103946840,,https://www.squeakydans.com/,"","Also Windows, Roof Wash",,,"",,,,"",""
136,"Steam Solutions Carpet Cleaning","Home Cleaning Domestic Services","Carpet Cleaning","",2106433812,,http://www.steamsolutionscarpetcleaning.com,"2610 Johnson Grass, San Antonio, Tx 78251","",,,"",,,,"",""
137,"Stepping Stone Vetcare","Pet Care","In‑Home Euthanasia","Dr. Laura",2104546101,,https://www.steppingstonevetcare.com,"535 E Ammann Rd, Bulverde, Tx 78163","",,,"",,,,"",""
138,"Storm Roofing","Home Repair & Trades",Roofing,Alfred,2104977736,,https://www.stormroofing.com/,"20770 Hwy 281 #108-293 San Antonio, Tx 78258","",,,"",,,,"",""
139,"Stratton Physical Therapy","Health Care","Physical Therapy","Dr Kenny Hogan",2108287557,,https://www.strattonrehab.com/locations/alamo-ranch,"11919 Culebra Road, Bldg 1 Suite 101, San Antonio, Texas 78253","Highly Recommended",,,"",,,,"",""
140,"Styles Aden","Real Estate","Property Mgmt","Styles Aden",2108672564,,https://www.phyllisbrowning.com/realestate/agent/aden-stiles/,"4372 N Loop 1604 West Ste 102 San Antonio, Tx 78249","Manages Hcr Rentals",,,"",,,,"",""
141,"Sun Auto Service","Auto Services","Auto Repair","",2104551645,,https://www.sunautoservice.com/locations/tx/sanantonio/auto-repair-11906-alamo-ranch-pkwy,"11906 Alamo Ranch Pkwy San Antonio, Tx 78253","",,,"",,,,"",""
142,Sunburst,"Home Repair & Trades","Window Coverings","",2108760377,,https://www.sunburstshutterssanantonio.com/,"","",,,"",,,,"",""
143,"Sundek Of San Antonio","Landscaping Trees Lawn Services","Concrete Resurfacing","Steve Scott",2104910280,,https://www.sundeksanantonio.com/,"18847 Redland Rd #206, San Antonio, Tx 78259","Highly Recommended",,,"",,,,"",""
144,"Superior Outdoor Design","Home Repair & Trades","Decks, Gazebo, Arbor, Pergola","",2106985010,,https://www.superioroutdoordesigns.com/,"21195 W I-10, San Antonio, Tx 78257","",,,"",,,,"",""
145,"Teague'S Tree Service","Landscaping Trees Lawn Services","Tree Trim","",2107180142,,"","Po Box 3151, Universal City, Tx 78148","Courteous, Fair Pricing",,,"",,,,"",""
146,"Test Provider",Bicycle,"Address Tiles","",,,"","","",,,"",,,,"",""
147,"Texas Country Dental","Health Care",Dental,"Dr. Kiela Hilton",2106886809,,https://www.texascountrydental.com/,"10919 Culebra Rd Ste 130, San Antonio, Tx 78253","",,,"",,,,"",""
148,"Texas Neuro Spine","Health Care",Neurology,"Dr Sebastian Villareal",2109519055,,https://www.texasneurospine.com/sebastian-juan-villarreal-md-neuro-spine-surgeons-san-antonio-new-braunfels-tx/,"11212 Tx 151 Medical Plaza
1 Ste. 260
San Antonio, Tx 78251","",,,"",,,,"",""
149,"Texas Window Washing","Home Cleaning Domestic Services","Window Washing","",2103260852,,https://www.texaswindowwashing.xyz/,"","",,,"",,,,"",""
150,"The Dexpert","Home Repair & Trades","Deck Staining","",2104806584,,https://www.thedexpert.com,"7312 Reindeer Trail Leon Valley, Tx 78238","Pergola & Cedar Match",,,"",,,,"",""
151,"The Joint","Health Care",Chiropractic,"Dr. Issac",2108168437,,https://www.thejoint.com/texas/san-antonio/alamo-ranch-28077,"5519 W Loop 1604 N, Suite 103
San Antonio, Tx 78253","",,,"",,,,"",""
152,"The Master Squeegee","Home Cleaning Domestic Services","Window Washing","Nick Williams",2103731512,,"","","Excellent Work",,,"",,,,"",""
